prodcode,prodname,retrieve_status,munge_status,derive_status,precursor_of,notes,components,url
VERSIONLESS001,discharge,ready,ready,NA,stream_flux_inst__ms001,NA,PMRW_Data_for_and_estimates_of_wet_deposition_and_streamwater_solute_fluxes_wy86-16.zip,https://www.sciencebase.gov/catalog/file/get/5c5b0b83e4b070828902ac9b?f=__disk__b4%2F4d%2Fc1%2Fb44dc1405627810cbf6ef48e0a9ad77e7a3d7f62
VERSIONLESS001,stream_chemistry,ready,ready,NA,stream_flux_inst__ms001,NA,PMRW_Data_for_and_estimates_of_wet_deposition_and_streamwater_solute_fluxes_wy86-16.zip,https://www.sciencebase.gov/catalog/file/get/5c5b0b83e4b070828902ac9b?f=__disk__b4%2F4d%2Fc1%2Fb44dc1405627810cbf6ef48e0a9ad77e7a3d7f62
VERSIONLESS001,precipitation,ready,ready,NA,precip_pchem_pflux__ms003,NA,PMRW_Data_for_and_estimates_of_wet_deposition_and_streamwater_solute_fluxes_wy86-16.zip,https://www.sciencebase.gov/catalog/file/get/5c5b0b83e4b070828902ac9b?f=__disk__b4%2F4d%2Fc1%2Fb44dc1405627810cbf6ef48e0a9ad77e7a3d7f62
VERSIONLESS001,precip_chemistry,ready,ready,NA,precip_pchem_pflux__ms003,NA,PMRW_Data_for_and_estimates_of_wet_deposition_and_streamwater_solute_fluxes_wy86-16.zip,https://www.sciencebase.gov/catalog/file/get/5c5b0b83e4b070828902ac9b?f=__disk__b4%2F4d%2Fc1%2Fb44dc1405627810cbf6ef48e0a9ad77e7a3d7f62
VERSIONLESS001,CUSTOMprecip_flux_inst_scaled,ready,ready,NA,NA,NA,PMRW_Data_for_and_estimates_of_wet_deposition_and_streamwater_solute_fluxes_wy86-16.zip,https://www.sciencebase.gov/catalog/file/get/5c5b0b83e4b070828902ac9b?f=__disk__b4%2F4d%2Fc1%2Fb44dc1405627810cbf6ef48e0a9ad77e7a3d7f62
VERSIONLESS001,CUSTOMstream_flux_inst_scaled,ready,ready,NA,NA,NA,PMRW_Data_for_and_estimates_of_wet_deposition_and_streamwater_solute_fluxes_wy86-16.zip,https://www.sciencebase.gov/catalog/file/get/5c5b0b83e4b070828902ac9b?f=__disk__b4%2F4d%2Fc1%2Fb44dc1405627810cbf6ef48e0a9ad77e7a3d7f62
ms001,stream_flux_inst,NA,NA,ready,NA,NA,NA,NA
ms002,stream_gauge_locations,NA,NA,ready,stream_flux_inst__ms001,NA,NA,NA
ms003,precip_gauge_locations,NA,NA,ready,precip_pchem_pflux__ms003,NA,NA,NA
ms004,precip_pchem_pflux,NA,NA,ready,NA,NA,NA,NA
ms005,discharge,NA,NA,linked,NA,automated entry,NA,NA
ms006,stream_chemistry,NA,NA,linked,NA,automated entry,NA,NA
ms007,CUSTOMprecip_flux_inst_scaled,NA,NA,linked,NA,automated entry,NA,NA
ms000,ws_boundary,NA,NA,NA,precip_pchem_pflux__ms004,automated entry,NA,NA
ms900,precipitation,NA,NA,NA,NA,automated entry,NA,NA
ms901,precip_chemistry,NA,NA,NA,NA,automated entry,NA,NA
ms902,precip_flux_inst,NA,NA,NA,NA,automated entry,NA,NA
ms008,CUSTOMstream_flux_inst_scaled,NA,NA,linked,NA,automated entry,NA,NA
